Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2807","Rice and products","2018","2018","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2807","Rice and products","2019","2019","1000 t","-10","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2807","Rice and products","2020","2020","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2807","Rice and products","2010","2010","1000 t","389","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2807","Rice and products","2011","2011","1000 t","473","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2807","Rice and products","2012","2012","1000 t","825","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2807","Rice and products","2013","2013","1000 t","661","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2807","Rice and products","2014","2014","1000 t","1018","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2807","Rice and products","2015","2015","1000 t","815","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2807","Rice and products","2016","2016","1000 t","978","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2807","Rice and products","2017","2017","1000 t","996","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2807","Rice and products","2018","2018","1000 t","948","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2807","Rice and products","2019","2019","1000 t","1111","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2807","Rice and products","2020","2020","1000 t","1162","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2807","Rice and products","2010","2010","million Kcal","1298561","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2807","Rice and products","2011","2011","million Kcal","1313880","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2807","Rice and products","2012","2012","million Kcal","1995012","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2807","Rice and products","2013","2013","million Kcal","1624409","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2807","Rice and products","2014","2014","million Kcal","2749978","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2807","Rice and products","2015","2015","million Kcal","2241275","I","Imputed value"
